GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US12086000107,12086000107,"Census Tract 1.07, Miami-Dade County, Florida",2484,516
1400000US12086000109,12086000109,"Census Tract 1.09, Miami-Dade County, Florida",3643,437
1400000US12086000113,12086000113,"Census Tract 1.13, Miami-Dade County, Florida",7481,861
1400000US12086000115,12086000115,"Census Tract 1.15, Miami-Dade County, Florida",2687,636
1400000US12086000118,12086000118,"Census Tract 1.18, Miami-Dade County, Florida",1156,207
1400000US12086000119,12086000119,"Census Tract 1.19, Miami-Dade County, Florida",4254,696
1400000US12086000120,12086000120,"Census Tract 1.20, Miami-Dade County, Florida",4611,518
1400000US12086000121,12086000121,"Census Tract 1.21, Miami-Dade County, Florida",1810,521
1400000US12086000122,12086000122,"Census Tract 1.22, Miami-Dade County, Florida",3775,856
1400000US12086000123,12086000123,"Census Tract 1.23, Miami-Dade County, Florida",4110,646
1400000US12086000124,12086000124,"Census Tract 1.24, Miami-Dade County, Florida",3105,455
1400000US12086000125,12086000125,"Census Tract 1.25, Miami-Dade County, Florida",3719,666
1400000US12086000126,12086000126,"Census Tract 1.26, Miami-Dade County, Florida",2333,422
1400000US12086000127,12086000127,"Census Tract 1.27, Miami-Dade County, Florida",3869,511
1400000US12086000128,12086000128,"Census Tract 1.28, Miami-Dade County, Florida",1665,403
1400000US12086000129,12086000129,"Census Tract 1.29, Miami-Dade County, Florida",2120,485
1400000US12086000130,12086000130,"Census Tract 1.30, Miami-Dade County, Florida",2602,501
1400000US12086000131,12086000131,"Census Tract 1.31, Miami-Dade County, Florida",2243,472
1400000US12086000132,12086000132,"Census Tract 1.32, Miami-Dade County, Florida",5276,669
1400000US12086000133,12086000133,"Census Tract 1.33, Miami-Dade County, Florida",7039,1039
1400000US12086000134,12086000134,"Census Tract 1.34, Miami-Dade County, Florida",2981,506
1400000US12086000140,12086000140,"Census Tract 1.40, Miami-Dade County, Florida",3145,552
1400000US12086000202,12086000202,"Census Tract 2.02, Miami-Dade County, Florida",7826,784
1400000US12086000204,12086000204,"Census Tract 2.04, Miami-Dade County, Florida",4886,478
1400000US12086000206,12086000206,"Census Tract 2.06, Miami-Dade County, Florida",5698,517
1400000US12086000209,12086000209,"Census Tract 2.09, Miami-Dade County, Florida",6531,690
1400000US12086000211,12086000211,"Census Tract 2.11, Miami-Dade County, Florida",3142,369
1400000US12086000212,12086000212,"Census Tract 2.12, Miami-Dade County, Florida",4298,524
1400000US12086000213,12086000213,"Census Tract 2.13, Miami-Dade County, Florida",5660,752
1400000US12086000214,12086000214,"Census Tract 2.14, Miami-Dade County, Florida",5744,604
1400000US12086000215,12086000215,"Census Tract 2.15, Miami-Dade County, Florida",4116,528
1400000US12086000216,12086000216,"Census Tract 2.16, Miami-Dade County, Florida",5016,547
1400000US12086000217,12086000217,"Census Tract 2.17, Miami-Dade County, Florida",6499,532
1400000US12086000218,12086000218,"Census Tract 2.18, Miami-Dade County, Florida",3732,573
1400000US12086000219,12086000219,"Census Tract 2.19, Miami-Dade County, Florida",4398,516
1400000US12086000220,12086000220,"Census Tract 2.20, Miami-Dade County, Florida",5349,934
1400000US12086000301,12086000301,"Census Tract 3.01, Miami-Dade County, Florida",6632,992
1400000US12086000302,12086000302,"Census Tract 3.02, Miami-Dade County, Florida",2733,392
1400000US12086000305,12086000305,"Census Tract 3.05, Miami-Dade County, Florida",7568,961
1400000US12086000306,12086000306,"Census Tract 3.06, Miami-Dade County, Florida",5464,693
1400000US12086000307,12086000307,"Census Tract 3.07, Miami-Dade County, Florida",4343,581
1400000US12086000308,12086000308,"Census Tract 3.08, Miami-Dade County, Florida",5814,600
1400000US12086000402,12086000402,"Census Tract 4.02, Miami-Dade County, Florida",3767,500
1400000US12086000403,12086000403,"Census Tract 4.03, Miami-Dade County, Florida",6230,750
1400000US12086000404,12086000404,"Census Tract 4.04, Miami-Dade County, Florida",6165,953
1400000US12086000405,12086000405,"Census Tract 4.05, Miami-Dade County, Florida",4616,509
1400000US12086000408,12086000408,"Census Tract 4.08, Miami-Dade County, Florida",4488,582
1400000US12086000409,12086000409,"Census Tract 4.09, Miami-Dade County, Florida",4759,858
1400000US12086000410,12086000410,"Census Tract 4.10, Miami-Dade County, Florida",5235,560
1400000US12086000411,12086000411,"Census Tract 4.11, Miami-Dade County, Florida",6292,742
1400000US12086000412,12086000412,"Census Tract 4.12, Miami-Dade County, Florida",6730,927
1400000US12086000413,12086000413,"Census Tract 4.13, Miami-Dade County, Florida",4933,766
1400000US12086000414,12086000414,"Census Tract 4.14, Miami-Dade County, Florida",4736,572
1400000US12086000501,12086000501,"Census Tract 5.01, Miami-Dade County, Florida",8197,578
1400000US12086000503,12086000503,"Census Tract 5.03, Miami-Dade County, Florida",7200,822
1400000US12086000504,12086000504,"Census Tract 5.04, Miami-Dade County, Florida",4940,618
1400000US12086000505,12086000505,"Census Tract 5.05, Miami-Dade County, Florida",5954,653
1400000US12086000601,12086000601,"Census Tract 6.01, Miami-Dade County, Florida",5292,505
1400000US12086000602,12086000602,"Census Tract 6.02, Miami-Dade County, Florida",5128,519
1400000US12086000603,12086000603,"Census Tract 6.03, Miami-Dade County, Florida",5135,523
1400000US12086000604,12086000604,"Census Tract 6.04, Miami-Dade County, Florida",6577,525
1400000US12086000605,12086000605,"Census Tract 6.05, Miami-Dade County, Florida",4621,503
1400000US12086000607,12086000607,"Census Tract 6.07, Miami-Dade County, Florida",5510,446
1400000US12086000608,12086000608,"Census Tract 6.08, Miami-Dade County, Florida",7552,676
1400000US12086000705,12086000705,"Census Tract 7.05, Miami-Dade County, Florida",4743,654
1400000US12086000706,12086000706,"Census Tract 7.06, Miami-Dade County, Florida",8289,669
1400000US12086000707,12086000707,"Census Tract 7.07, Miami-Dade County, Florida",7754,649
1400000US12086000708,12086000708,"Census Tract 7.08, Miami-Dade County, Florida",7123,729
1400000US12086000709,12086000709,"Census Tract 7.09, Miami-Dade County, Florida",6789,695
1400000US12086000710,12086000710,"Census Tract 7.10, Miami-Dade County, Florida",4995,574
1400000US12086000711,12086000711,"Census Tract 7.11, Miami-Dade County, Florida",5165,423
1400000US12086000712,12086000712,"Census Tract 7.12, Miami-Dade County, Florida",2516,233
1400000US12086000804,12086000804,"Census Tract 8.04, Miami-Dade County, Florida",5117,496
1400000US12086000805,12086000805,"Census Tract 8.05, Miami-Dade County, Florida",6216,539
1400000US12086000806,12086000806,"Census Tract 8.06, Miami-Dade County, Florida",4942,517
1400000US12086000807,12086000807,"Census Tract 8.07, Miami-Dade County, Florida",4141,467
1400000US12086000808,12086000808,"Census Tract 8.08, Miami-Dade County, Florida",4273,387
1400000US12086000901,12086000901,"Census Tract 9.01, Miami-Dade County, Florida",7508,810
1400000US12086000902,12086000902,"Census Tract 9.02, Miami-Dade County, Florida",6271,665
1400000US12086000903,12086000903,"Census Tract 9.03, Miami-Dade County, Florida",2549,283
1400000US12086001002,12086001002,"Census Tract 10.02, Miami-Dade County, Florida",5320,922
1400000US12086001003,12086001003,"Census Tract 10.03, Miami-Dade County, Florida",5218,558
1400000US12086001004,12086001004,"Census Tract 10.04, Miami-Dade County, Florida",6003,699
1400000US12086001005,12086001005,"Census Tract 10.05, Miami-Dade County, Florida",2004,352
1400000US12086001006,12086001006,"Census Tract 10.06, Miami-Dade County, Florida",5166,596
1400000US12086001101,12086001101,"Census Tract 11.01, Miami-Dade County, Florida",6011,448
1400000US12086001102,12086001102,"Census Tract 11.02, Miami-Dade County, Florida",5650,585
1400000US12086001103,12086001103,"Census Tract 11.03, Miami-Dade County, Florida",3865,536
1400000US12086001104,12086001104,"Census Tract 11.04, Miami-Dade County, Florida",4876,388
1400000US12086001203,12086001203,"Census Tract 12.03, Miami-Dade County, Florida",7155,924
1400000US12086001204,12086001204,"Census Tract 12.04, Miami-Dade County, Florida",5395,684
1400000US12086001205,12086001205,"Census Tract 12.05, Miami-Dade County, Florida",3603,405
1400000US12086001206,12086001206,"Census Tract 12.06, Miami-Dade County, Florida",3973,563
1400000US12086001301,12086001301,"Census Tract 13.01, Miami-Dade County, Florida",4163,655
1400000US12086001302,12086001302,"Census Tract 13.02, Miami-Dade County, Florida",6264,968
1400000US12086001401,12086001401,"Census Tract 14.01, Miami-Dade County, Florida",5562,573
1400000US12086001402,12086001402,"Census Tract 14.02, Miami-Dade County, Florida",6250,691
1400000US12086001501,12086001501,"Census Tract 15.01, Miami-Dade County, Florida",4062,463
1400000US12086001502,12086001502,"Census Tract 15.02, Miami-Dade County, Florida",3813,496
1400000US12086001602,12086001602,"Census Tract 16.02, Miami-Dade County, Florida",6478,535
1400000US12086001603,12086001603,"Census Tract 16.03, Miami-Dade County, Florida",3181,529
1400000US12086001605,12086001605,"Census Tract 16.05, Miami-Dade County, Florida",3872,491
1400000US12086001606,12086001606,"Census Tract 16.06, Miami-Dade County, Florida",4889,477
1400000US12086001701,12086001701,"Census Tract 17.01, Miami-Dade County, Florida",4489,536
1400000US12086001702,12086001702,"Census Tract 17.02, Miami-Dade County, Florida",2382,320
1400000US12086001703,12086001703,"Census Tract 17.03, Miami-Dade County, Florida",5371,563
1400000US12086001801,12086001801,"Census Tract 18.01, Miami-Dade County, Florida",3801,528
1400000US12086001802,12086001802,"Census Tract 18.02, Miami-Dade County, Florida",3973,525
1400000US12086001803,12086001803,"Census Tract 18.03, Miami-Dade County, Florida",3234,576
1400000US12086001901,12086001901,"Census Tract 19.01, Miami-Dade County, Florida",3491,495
1400000US12086001903,12086001903,"Census Tract 19.03, Miami-Dade County, Florida",3348,413
1400000US12086001904,12086001904,"Census Tract 19.04, Miami-Dade County, Florida",3630,538
1400000US12086002001,12086002001,"Census Tract 20.01, Miami-Dade County, Florida",3762,520
1400000US12086002003,12086002003,"Census Tract 20.03, Miami-Dade County, Florida",3344,445
1400000US12086002004,12086002004,"Census Tract 20.04, Miami-Dade County, Florida",2932,323
1400000US12086002100,12086002100,"Census Tract 21, Miami-Dade County, Florida",2605,424
1400000US12086002201,12086002201,"Census Tract 22.01, Miami-Dade County, Florida",3766,526
1400000US12086002202,12086002202,"Census Tract 22.02, Miami-Dade County, Florida",6155,598
1400000US12086002300,12086002300,"Census Tract 23, Miami-Dade County, Florida",5206,801
1400000US12086002402,12086002402,"Census Tract 24.02, Miami-Dade County, Florida",5266,503
1400000US12086002403,12086002403,"Census Tract 24.03, Miami-Dade County, Florida",4445,758
1400000US12086002404,12086002404,"Census Tract 24.04, Miami-Dade County, Florida",5031,779
1400000US12086002501,12086002501,"Census Tract 25.01, Miami-Dade County, Florida",5038,516
1400000US12086002502,12086002502,"Census Tract 25.02, Miami-Dade County, Florida",5151,618
1400000US12086002600,12086002600,"Census Tract 26, Miami-Dade County, Florida",6068,775
1400000US12086002702,12086002702,"Census Tract 27.02, Miami-Dade County, Florida",3123,484
1400000US12086002703,12086002703,"Census Tract 27.03, Miami-Dade County, Florida",5770,915
1400000US12086002705,12086002705,"Census Tract 27.05, Miami-Dade County, Florida",2787,505
1400000US12086002706,12086002706,"Census Tract 27.06, Miami-Dade County, Florida",3349,544
1400000US12086002800,12086002800,"Census Tract 28, Miami-Dade County, Florida",1548,388
1400000US12086002900,12086002900,"Census Tract 29, Miami-Dade County, Florida",7085,872
1400000US12086003001,12086003001,"Census Tract 30.01, Miami-Dade County, Florida",2253,285
1400000US12086003003,12086003003,"Census Tract 30.03, Miami-Dade County, Florida",6958,685
1400000US12086003004,12086003004,"Census Tract 30.04, Miami-Dade County, Florida",4530,417
1400000US12086003100,12086003100,"Census Tract 31, Miami-Dade County, Florida",4439,533
1400000US12086003400,12086003400,"Census Tract 34, Miami-Dade County, Florida",1688,251
1400000US12086003601,12086003601,"Census Tract 36.01, Miami-Dade County, Florida",3535,479
1400000US12086003602,12086003602,"Census Tract 36.02, Miami-Dade County, Florida",7203,785
1400000US12086003702,12086003702,"Census Tract 37.02, Miami-Dade County, Florida",3827,492
1400000US12086003703,12086003703,"Census Tract 37.03, Miami-Dade County, Florida",1591,260
1400000US12086003704,12086003704,"Census Tract 37.04, Miami-Dade County, Florida",1479,341
1400000US12086003705,12086003705,"Census Tract 37.05, Miami-Dade County, Florida",1209,271
1400000US12086003706,12086003706,"Census Tract 37.06, Miami-Dade County, Florida",1316,224
1400000US12086003707,12086003707,"Census Tract 37.07, Miami-Dade County, Florida",1174,248
1400000US12086003801,12086003801,"Census Tract 38.01, Miami-Dade County, Florida",5908,51
1400000US12086003803,12086003803,"Census Tract 38.03, Miami-Dade County, Florida",2605,27
1400000US12086003804,12086003804,"Census Tract 38.04, Miami-Dade County, Florida",5927,22
1400000US12086003906,12086003906,"Census Tract 39.06, Miami-Dade County, Florida",3245,352
1400000US12086003909,12086003909,"Census Tract 39.09, Miami-Dade County, Florida",1466,273
1400000US12086003911,12086003911,"Census Tract 39.11, Miami-Dade County, Florida",4688,523
1400000US12086003912,12086003912,"Census Tract 39.12, Miami-Dade County, Florida",4797,763
1400000US12086003913,12086003913,"Census Tract 39.13, Miami-Dade County, Florida",4844,511
1400000US12086003914,12086003914,"Census Tract 39.14, Miami-Dade County, Florida",3698,526
1400000US12086003915,12086003915,"Census Tract 39.15, Miami-Dade County, Florida",4866,778
1400000US12086003916,12086003916,"Census Tract 39.16, Miami-Dade County, Florida",3802,461
1400000US12086003917,12086003917,"Census Tract 39.17, Miami-Dade County, Florida",4910,366
1400000US12086003918,12086003918,"Census Tract 39.18, Miami-Dade County, Florida",2543,366
1400000US12086003919,12086003919,"Census Tract 39.19, Miami-Dade County, Florida",2343,378
1400000US12086003921,12086003921,"Census Tract 39.21, Miami-Dade County, Florida",2776,456
1400000US12086003922,12086003922,"Census Tract 39.22, Miami-Dade County, Florida",3009,420
1400000US12086004000,12086004000,"Census Tract 40, Miami-Dade County, Florida",5620,739
1400000US12086004102,12086004102,"Census Tract 41.02, Miami-Dade County, Florida",2855,449
1400000US12086004103,12086004103,"Census Tract 41.03, Miami-Dade County, Florida",3361,961
1400000US12086004105,12086004105,"Census Tract 41.05, Miami-Dade County, Florida",2780,727
1400000US12086004106,12086004106,"Census Tract 41.06, Miami-Dade County, Florida",3966,561
1400000US12086004203,12086004203,"Census Tract 42.03, Miami-Dade County, Florida",4596,485
1400000US12086004204,12086004204,"Census Tract 42.04, Miami-Dade County, Florida",2053,353
1400000US12086004205,12086004205,"Census Tract 42.05, Miami-Dade County, Florida",2673,526
1400000US12086004206,12086004206,"Census Tract 42.06, Miami-Dade County, Florida",1703,401
1400000US12086004301,12086004301,"Census Tract 43.01, Miami-Dade County, Florida",1879,323
1400000US12086004303,12086004303,"Census Tract 43.03, Miami-Dade County, Florida",2257,409
1400000US12086004304,12086004304,"Census Tract 43.04, Miami-Dade County, Florida",2821,603
1400000US12086004403,12086004403,"Census Tract 44.03, Miami-Dade County, Florida",2797,398
1400000US12086004404,12086004404,"Census Tract 44.04, Miami-Dade County, Florida",1878,279
1400000US12086004405,12086004405,"Census Tract 44.05, Miami-Dade County, Florida",3674,670
1400000US12086004406,12086004406,"Census Tract 44.06, Miami-Dade County, Florida",2383,303
1400000US12086004500,12086004500,"Census Tract 45, Miami-Dade County, Florida",4011,566
1400000US12086004602,12086004602,"Census Tract 46.02, Miami-Dade County, Florida",4265,407
1400000US12086004605,12086004605,"Census Tract 46.05, Miami-Dade County, Florida",3451,437
1400000US12086004607,12086004607,"Census Tract 46.07, Miami-Dade County, Florida",3142,540
1400000US12086004608,12086004608,"Census Tract 46.08, Miami-Dade County, Florida",1916,537
1400000US12086004701,12086004701,"Census Tract 47.01, Miami-Dade County, Florida",5810,425
1400000US12086004702,12086004702,"Census Tract 47.02, Miami-Dade County, Florida",6068,457
1400000US12086004703,12086004703,"Census Tract 47.03, Miami-Dade County, Florida",5009,426
1400000US12086004901,12086004901,"Census Tract 49.01, Miami-Dade County, Florida",3321,352
1400000US12086004902,12086004902,"Census Tract 49.02, Miami-Dade County, Florida",6980,903
1400000US12086005001,12086005001,"Census Tract 50.01, Miami-Dade County, Florida",8358,1122
1400000US12086005002,12086005002,"Census Tract 50.02, Miami-Dade County, Florida",5856,560
1400000US12086005102,12086005102,"Census Tract 51.02, Miami-Dade County, Florida",4014,445
1400000US12086005103,12086005103,"Census Tract 51.03, Miami-Dade County, Florida",2529,288
1400000US12086005104,12086005104,"Census Tract 51.04, Miami-Dade County, Florida",3725,498
1400000US12086005201,12086005201,"Census Tract 52.01, Miami-Dade County, Florida",5565,624
1400000US12086005202,12086005202,"Census Tract 52.02, Miami-Dade County, Florida",6026,658
1400000US12086005302,12086005302,"Census Tract 53.02, Miami-Dade County, Florida",7154,690
1400000US12086005303,12086005303,"Census Tract 53.03, Miami-Dade County, Florida",3417,436
1400000US12086005304,12086005304,"Census Tract 53.04, Miami-Dade County, Florida",4551,580
1400000US12086005403,12086005403,"Census Tract 54.03, Miami-Dade County, Florida",1300,264
1400000US12086005405,12086005405,"Census Tract 54.05, Miami-Dade County, Florida",3380,555
1400000US12086005406,12086005406,"Census Tract 54.06, Miami-Dade County, Florida",4198,608
1400000US12086005407,12086005407,"Census Tract 54.07, Miami-Dade County, Florida",2172,438
1400000US12086005409,12086005409,"Census Tract 54.09, Miami-Dade County, Florida",3714,458
1400000US12086005410,12086005410,"Census Tract 54.10, Miami-Dade County, Florida",3286,430
1400000US12086005501,12086005501,"Census Tract 55.01, Miami-Dade County, Florida",6435,785
1400000US12086005502,12086005502,"Census Tract 55.02, Miami-Dade County, Florida",6993,739
1400000US12086005600,12086005600,"Census Tract 56, Miami-Dade County, Florida",5454,490
1400000US12086005701,12086005701,"Census Tract 57.01, Miami-Dade County, Florida",6471,637
1400000US12086005703,12086005703,"Census Tract 57.03, Miami-Dade County, Florida",6908,753
1400000US12086005704,12086005704,"Census Tract 57.04, Miami-Dade County, Florida",7879,641
1400000US12086005801,12086005801,"Census Tract 58.01, Miami-Dade County, Florida",8216,1020
1400000US12086005802,12086005802,"Census Tract 58.02, Miami-Dade County, Florida",9961,746
1400000US12086005901,12086005901,"Census Tract 59.01, Miami-Dade County, Florida",4320,297
1400000US12086005902,12086005902,"Census Tract 59.02, Miami-Dade County, Florida",3936,476
1400000US12086005903,12086005903,"Census Tract 59.03, Miami-Dade County, Florida",6043,448
1400000US12086005904,12086005904,"Census Tract 59.04, Miami-Dade County, Florida",4364,494
1400000US12086006001,12086006001,"Census Tract 60.01, Miami-Dade County, Florida",7025,800
1400000US12086006002,12086006002,"Census Tract 60.02, Miami-Dade County, Florida",5827,715
1400000US12086006101,12086006101,"Census Tract 61.01, Miami-Dade County, Florida",5773,493
1400000US12086006102,12086006102,"Census Tract 61.02, Miami-Dade County, Florida",6526,427
1400000US12086006201,12086006201,"Census Tract 62.01, Miami-Dade County, Florida",2740,411
1400000US12086006203,12086006203,"Census Tract 62.03, Miami-Dade County, Florida",1773,207
1400000US12086006205,12086006205,"Census Tract 62.05, Miami-Dade County, Florida",3915,609
1400000US12086006206,12086006206,"Census Tract 62.06, Miami-Dade County, Florida",2761,346
1400000US12086006301,12086006301,"Census Tract 63.01, Miami-Dade County, Florida",6739,597
1400000US12086006302,12086006302,"Census Tract 63.02, Miami-Dade County, Florida",4859,571
1400000US12086006401,12086006401,"Census Tract 64.01, Miami-Dade County, Florida",3781,426
1400000US12086006402,12086006402,"Census Tract 64.02, Miami-Dade County, Florida",3697,451
1400000US12086006403,12086006403,"Census Tract 64.03, Miami-Dade County, Florida",3640,423
1400000US12086006501,12086006501,"Census Tract 65.01, Miami-Dade County, Florida",3409,596
1400000US12086006503,12086006503,"Census Tract 65.03, Miami-Dade County, Florida",2792,269
1400000US12086006504,12086006504,"Census Tract 65.04, Miami-Dade County, Florida",2523,335
1400000US12086006601,12086006601,"Census Tract 66.01, Miami-Dade County, Florida",7797,1052
1400000US12086006602,12086006602,"Census Tract 66.02, Miami-Dade County, Florida",4937,762
1400000US12086006702,12086006702,"Census Tract 67.02, Miami-Dade County, Florida",8846,1060
1400000US12086006705,12086006705,"Census Tract 67.05, Miami-Dade County, Florida",2886,491
1400000US12086006706,12086006706,"Census Tract 67.06, Miami-Dade County, Florida",2392,443
1400000US12086006707,12086006707,"Census Tract 67.07, Miami-Dade County, Florida",4309,838
1400000US12086006709,12086006709,"Census Tract 67.09, Miami-Dade County, Florida",977,248
1400000US12086006711,12086006711,"Census Tract 67.11, Miami-Dade County, Florida",2350,437
1400000US12086006713,12086006713,"Census Tract 67.13, Miami-Dade County, Florida",1899,675
1400000US12086006714,12086006714,"Census Tract 67.14, Miami-Dade County, Florida",1939,384
1400000US12086006801,12086006801,"Census Tract 68.01, Miami-Dade County, Florida",2800,411
1400000US12086006802,12086006802,"Census Tract 68.02, Miami-Dade County, Florida",3974,336
1400000US12086006900,12086006900,"Census Tract 69, Miami-Dade County, Florida",6200,704
1400000US12086007001,12086007001,"Census Tract 70.01, Miami-Dade County, Florida",9274,880
1400000US12086007002,12086007002,"Census Tract 70.02, Miami-Dade County, Florida",7726,792
1400000US12086007101,12086007101,"Census Tract 71.01, Miami-Dade County, Florida",2450,389
1400000US12086007103,12086007103,"Census Tract 71.03, Miami-Dade County, Florida",1629,217
1400000US12086007104,12086007104,"Census Tract 71.04, Miami-Dade County, Florida",3047,338
1400000US12086007200,12086007200,"Census Tract 72, Miami-Dade County, Florida",2639,392
1400000US12086007300,12086007300,"Census Tract 73, Miami-Dade County, Florida",4067,411
1400000US12086007400,12086007400,"Census Tract 74, Miami-Dade County, Florida",6851,587
1400000US12086007501,12086007501,"Census Tract 75.01, Miami-Dade County, Florida",2841,293
1400000US12086007503,12086007503,"Census Tract 75.03, Miami-Dade County, Florida",861,126
1400000US12086007601,12086007601,"Census Tract 76.01, Miami-Dade County, Florida",2893,294
1400000US12086007603,12086007603,"Census Tract 76.03, Miami-Dade County, Florida",3716,465
1400000US12086007604,12086007604,"Census Tract 76.04, Miami-Dade County, Florida",5649,589
1400000US12086007605,12086007605,"Census Tract 76.05, Miami-Dade County, Florida",4804,532
1400000US12086007606,12086007606,"Census Tract 76.06, Miami-Dade County, Florida",5937,508
