"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
8987.2,4802.59,131.13,162.06,127.41,350.16,576.33,487.47,3295.12,3073.28,2515.06,872.66,1605.36,1491.32,978.41,901.85,7248.88,268.75,456.32,954.88,2067.37,131.43,221.27,1770.21,525.96,565.56,538.9,114.2,110.29,140.04,441.1,106.54,68.95,93.86,65.15,128.27,21.01,16.97,85.46,87.8
3793.75,186558.88,1169.09,1275.89,1123.4,2951.15,2935.33,1406.5,8777.02,85378.78,26476.67,6409.75,25696.21,15445.07,5772.7,5478.58,17672.13,9158.23,8811.97,9026.51,9057.34,911.7,1962.66,25726.78,4789.74,2778.11,2637.12,477.35,765.49,1114.92,1853.65,306.96,380.51,940.99,524.98,755.09,215.36,178.25,660.49,334.4
144.19,1311.25,41531.01,20052.79,15881.25,6775.15,5620.5,3841.76,1894.01,806.32,3143.74,169.33,806.97,4067.13,3875.86,4547.74,2957.41,68.05,232.97,445.82,222.03,26.11,61.5,1159.21,281.02,10.04,42,14.83,31.11,182.65,153.36,28.76,37.3,187.78,113.18,90.64,29.14,77.94,204.26,58.73
98.46,1534.97,19118.26,61996.41,24444.86,14776.04,10480,8912.38,2778.27,1296.95,3780.28,719.72,1104.8,6210.76,6868.52,5359.89,4921.8,114.67,174.38,694.01,276.6,46.61,129.24,1066.23,698.16,152.71,102.6,41.19,174.73,139.3,247.28,47.02,96.96,296.19,89.81,229.25,46.42,166.39,308.29,113.42
103.42,1415.24,14789.78,23945.95,93042.95,12141.15,5068.34,4363.21,2465.89,1034.14,3848.98,481.11,1116.32,4177.55,7146.19,4148.99,2728.38,72.08,119.84,272.65,283.24,38.68,33.81,842.04,321.24,121.62,162.4,24.27,51.21,45.18,145.78,38.98,62.23,172.57,31.63,150.55,25.1,52.59,242.35,89.06
328.94,3224.46,7107.36,15266.27,12190.22,101105.72,24018.17,14298.15,8210.84,2975.79,7276.33,1391,2790.69,11333.07,38634.58,19365.47,12207.35,212.21,533.51,1811.07,1128.96,216.21,435.21,1288.44,1022.93,417.34,378.88,51.93,257.28,233.38,610.02,181.07,175.91,723.52,357.71,526.54,308.8,367.85,699.25,452.43
474.41,3076.88,5078.39,10625.57,5299.33,25148.68,67685.11,16764.2,18379.8,2917.48,7988.75,1149.25,3030.77,9606.01,24093.77,26692.05,21076.74,157.84,554.47,1712.45,1297.98,192.29,229.4,1666.34,1101.62,386.34,229.33,61.11,193.3,420.01,796.59,300.31,423.79,889.33,631.64,898.6,218,347.03,605.4,405.39
472.75,1475.07,4223.06,9136.97,4321.48,14022.53,15279.93,39353.45,10400.45,1067.43,3255.97,678,1681.02,4746.09,6600.14,7700.95,8256.17,113.25,416.29,907.58,853.36,35.45,103.09,771.14,729.85,125.03,162.33,40.86,89.57,200.06,302.01,59.92,92.06,211.27,267.79,369.83,76.92,80.22,153.17,246.23
3445.93,9184.65,1975.72,3453.03,2623.45,8917.58,19416.19,11514.06,71063.21,7966.4,9225.41,2417.44,7053.29,7123.81,11033.98,15334.33,42914.98,445.75,1468.9,3081.81,4527.16,906.47,854.2,3173.44,1724.03,1622.23,932.4,458.26,991.73,1132.45,1910.76,565.84,667.17,757.19,546.59,837.2,155.72,186.3,409.57,475.18
3103.7,87719.96,772.26,1192.13,1136.03,3021.19,3274.41,1253.18,8137.14,372408.05,107093.23,16691.58,33793.75,18396.62,5792.66,7008.24,18446.37,21138.19,7520.46,11279.16,9752.43,836.77,2055.02,8435.92,3867.45,3097.13,2486.42,325.13,897.58,935.21,1276.55,290.36,320.22,579.18,531.45,531.88,260.04,313.17,525.76,282.95
2774.97,28750.12,3558.09,4076.98,3972.08,7767.67,7743.12,3541.49,9480.31,108482.57,706639.12,57093.49,29142.5,97539.62,20889.85,21607.39,30203.39,3541.22,5320.82,8970.21,6385.03,2286.36,2796.08,9093.59,7614.4,3435.23,2249.02,838.87,1777.05,2398.52,5113.24,1323.76,1341.87,3816.23,1862.74,2757.17,986.89,1363.6,2514.22,1710.52
741.23,6112.41,301.55,875.79,436.82,1466.62,1373.44,563.45,2490.84,16543.09,57446.82,40534.09,10072.36,14991.35,2975.18,3589.75,7721.98,237.32,1332.87,2710.18,1395.62,778.27,1206.51,2614,2595.58,1533.97,766.22,252.49,1111.39,1086.47,1383.2,418.14,330.33,976.71,605.16,526.46,207.12,229.63,360.39,254.37
1737.55,26573.57,961.4,962.15,1218.17,2965.32,3360.87,1740.61,7232.58,34910.52,30663.7,10485.92,36929.71,12160.55,6537.18,5786.32,18775.06,529.84,1543.19,3554.69,6002.53,801.46,1471.14,4187.58,3241.3,1970.98,950.94,527.2,1301.2,1349.62,2234.48,801.78,694.84,969.83,560.87,926.44,274.25,301,494.25,374.04
1760.79,21119.14,4693.62,6458.99,5195.75,12387.13,10661.72,5080.71,8119.31,19179.69,100965.8,15229.24,12527.88,175016.58,49524.9,35068.44,28869.65,1019.74,1642.34,3336.53,5894.24,2189.68,1823.26,18251.76,9932.12,1833.86,1626.79,699.16,1348.52,2533.03,4436.34,2366.08,2161.32,4408.56,3074.44,6609.85,2441.43,2551.17,5803.38,4347.84
1031.87,6121.46,3613.1,6919.4,6782.16,40763.09,22563.08,6725.35,10364.2,5588.92,19957.3,2967.38,6124.03,46653.66,233148.07,68150.22,32196.68,247.45,1143.57,3301.08,2697.41,660.27,805.98,4317.2,3768.43,988.87,700.15,163.42,715.35,1101.24,2383.53,900.74,988.41,2549.46,1878.56,4156.66,2233.03,2123.13,3271.39,4335.11
874.91,5700.88,4356.05,5672.58,4038.64,19852.4,25399.42,8271.77,15483.42,6632.78,21489.9,3886.54,5690.49,33923.98,72890.01,109477.82,44639.61,273.2,1025.1,2524.41,2455.79,974.16,781.82,2681.8,2755.37,1140.49,696.69,267.59,922.13,1374.53,2377.18,1172.48,1447.92,3910.37,2713.46,4684.82,1344.07,2080.91,3106.86,2511.73
7065.95,18852.46,2982.18,5174.85,2817.37,11715.69,21289,8623.27,44115.58,18708.93,32052.95,7199.68,18057.11,27753.14,34707.44,45881.54,172042.93,726.57,3063.98,7395.47,10785.65,2750.15,2777.14,7756.17,6824.49,3675.88,2280.93,1042.11,2482.81,3715.28,6335.73,2916.14,2647.97,4351.09,2240.42,3805.22,995.67,1108.69,1799.58,1675.47
203.83,11790.75,27.53,183.02,66.27,188.84,159.03,86.23,421.78,19663.3,3359.76,378.98,612.71,690.7,236.1,355.77,745.54,14788.7,262.05,392.03,430.8,20.45,44.58,746.44,201.58,62.12,175.98,14.31,28.31,29.84,27.51,5.83,2.8,17.22,26.19,12.63,8.44,8.19,6.15,5.4
361.37,8196.82,221.4,251.19,128.72,523.56,625.28,330.68,1499.57,7581.77,5156.87,1431.77,1506.71,1324.47,1160.51,939.1,2962.42,257.69,6985.47,179.03,378.29,233.05,335.84,1382.85,664.86,101.86,170.41,56.43,153.25,198.48,227.38,57.83,85.54,137.07,40.73,173.63,32.04,58.75,67.15,63.13
990.74,9549.77,489.63,832.93,265.59,1815.86,2067.56,988.59,3247.4,12621.77,8709.66,2858.59,3703.04,3310.57,3586.88,2722.54,8129.44,394.04,187.2,7788.57,227.18,448.93,501.97,1996.55,808.02,134.69,185.24,374.03,609.7,720.55,656.74,195.57,216.19,234.72,274.83,407.31,69.32,135.08,76.83,73.53
1820.57,10426.87,274.88,291.43,249.86,1149.82,1373.52,805.81,5129.09,9576.37,6572.4,1460.03,5987.17,4868.47,2702.43,2453.57,11396.78,334.91,258.68,230.46,13288.01,359.32,640.78,3494.48,988.58,307.06,226.23,186.77,488.79,764.47,850.95,332.4,216.96,277.12,222.55,437.06,97.71,99.39,138.56,61.19
108.66,711.61,32.11,31.22,54.79,221.53,249.8,66.19,774.81,886.39,2226.52,930.96,668.16,2469.88,777.44,980.25,2712.06,34.28,250.73,254.46,302.59,2825.39,147.55,252.57,438.22,338.71,191.66,43.76,168.64,137.21,135.44,116.43,132.45,246.26,120.44,205.58,69.19,70.33,90.58,58.58
152.02,1744.32,118.97,144.72,94.26,437.83,336.65,136.53,826.84,1943.41,2735.27,1051.27,1257.75,1880.6,997.53,903.95,3144.58,33.35,248.87,399.69,666.1,219.66,3371.93,432.63,812.87,203.12,69.46,88.79,124.4,121.75,445.72,130.16,104.13,142.04,77.49,152.82,70.78,53.51,65.56,39.28
1138.12,31096.64,1277.2,1232.22,836.91,1330.33,1445.84,786.97,3214.46,8975.16,7860.89,2211.94,3736.3,11137.72,3524.81,2193.15,6602.1,609.97,1084.48,1900.71,3662.92,142.67,298.56,5552.03,1400.1,386.21,192.73,27.43,217.27,445.36,632.49,172.92,408.99,538.52,334.12,397.12,104.47,169.7,415.95,211.62
504.39,7993.14,631.85,970.25,559.37,1198.77,1159.88,856.47,2132.54,4477.18,8750.4,2676.28,3091.16,9435.63,4247.23,3132.48,7106.22,359.14,638.42,1167.46,1496.74,369.45,702.26,926.69,7933.8,639.99,582.24,227.37,446.05,438.12,650.22,295.02,293.34,1119.91,565.6,709.03,144.2,212.54,272.03,250.58
449.86,2500.08,29.01,82.21,226.05,346.92,420.03,166.92,1501.71,3152.3,3546.16,1356.81,1868.77,1766.32,1224.85,1333.48,3624.16,47.13,106.3,149.35,311.74,397.54,217.61,380.49,596.59,5097.25,94.59,12,502.91,837.96,773.04,137.47,337.98,480.63,153.96,182.64,35.74,161.54,86.59,57.56
331.19,1792.46,64.04,60.7,58.13,327.65,248.74,98.1,750.44,1773.12,2051.01,726.74,1025.4,1238.09,692.9,621.37,2247.02,68.25,116.66,112.53,214.61,327.65,74.13,143.24,485.61,267.56,1942.2,57.45,27,354.61,512.53,178.03,133.38,290.96,108.23,71.73,55.54,56.99,142.63,75.1
49.63,427.13,6.15,60.71,0,76.1,67.62,37.13,307.43,324.48,825.15,255.16,443.35,624.21,232.2,210.1,1156.06,19.07,56.63,254.39,185.19,16.45,34.07,81.12,285.22,36.08,10.26,1073.67,47.16,29.26,372.49,51.67,130.52,117.49,28.09,72.12,77.44,17.14,38.24,0
97.13,759.34,29.07,191.22,10.89,346.4,253.08,67.53,805.21,957.26,1575.74,1035.05,1370.37,1328.63,749.58,895.98,2638.92,31.74,222.47,514.65,497.89,152.36,130.21,181.9,547.12,466.19,44.37,95.25,2837.83,71.61,227.46,171.32,165.29,359.81,148.79,254.67,106.48,39.74,62.15,41.1
186.69,1003.42,174.1,154.06,69.08,304.66,483.46,138.45,1197.73,1110.36,2574.75,832.47,1364.54,2235.24,1248.47,1244.96,3898.48,26.36,181.5,576.99,832.59,148.33,115.26,270.32,418.7,716.77,328.87,58.86,210.04,4256.34,233.76,277.29,357.05,476.25,153.29,443.85,125.45,70.27,72.06,108.09
565.12,1840.42,246.59,386.76,180.02,588.99,693.43,329.12,1639.26,1384.23,5410.61,1254.51,1969.31,4275.33,2271.92,2331.89,6895.04,16.64,309.81,558.69,798.3,101.3,510.27,519.34,690.36,651.55,522.63,283.66,218.68,195.25,5566.27,240.72,1044.86,1181.5,384.51,668.38,242.9,304.05,246.92,235.81
130.68,492.74,25.29,30.2,35.26,186.89,343.82,53.82,401.44,400.85,1341.53,384.7,705.48,2204.98,769.9,1051.55,2335.9,4.79,66.59,243.54,179.48,173.49,105.77,150.01,248.67,206.65,297.34,38.97,159.04,293.78,301.86,3188.26,312.48,440.72,200.87,284.1,8.47,69.12,78.6,146.76
83.44,437.57,38.35,108.85,32.82,199.83,401.21,149.59,728.37,312.87,1631.71,263.35,640.15,2077.31,1046.97,1358.39,2394.36,7.08,70.68,176.98,183.33,146.49,98.69,431.08,275.1,345.71,162,111.54,95.34,320.7,968.98,103.62,4310.83,266.28,218.51,470.54,123.75,88.22,115.41,117.25
70.6,798.23,155.59,312.84,107.79,651.52,954.6,234.77,804.94,588.34,4061.17,1052.22,882.81,4649.19,3023.37,3920.24,3860.25,53.97,134.31,355.78,236.77,232.17,93.46,645.26,960.22,444.07,352.13,94.44,300.8,446.92,1178.1,447.62,257.59,4406.93,242.28,756.08,349.36,376.36,440.63,232.64
72.08,341.92,110.04,86.46,41.18,358.1,492.19,245.58,633.16,401.2,1872.16,502.93,712.45,2979.36,1923.22,2821.36,2000.78,21.25,108.6,256.63,234.62,103.97,106.38,325.52,475.52,179.76,42.71,53.56,133.07,204.94,315.59,265.61,223.41,161.33,3300.7,119.37,154.01,340.6,404.7,196.01
110.78,903.08,127.05,323.07,87.58,608.8,1069.3,313.84,650.77,643.72,2816.02,542.1,1066.94,5648.32,4332.57,4367.61,3770.87,12.66,116.77,391.86,442.13,208.26,181.86,386.97,693.56,236.79,58.84,137,202.96,385.66,720.27,402.85,366.66,676.68,143.22,5136.65,124.81,703.46,1023.14,528.35
59.76,150.81,26.87,75.91,19.96,299,176.08,64.55,280.74,321.82,878.22,124.86,299.93,2314.84,2210.66,1410.09,872.19,0,19.53,47.16,70.51,31.67,87.84,146.06,115.9,44.46,62.9,103.26,101.48,86.84,147.23,25.72,97.01,291.24,176.31,86.73,2798.47,184.83,255.13,310.95
28.7,252.49,129.12,132.39,45.3,425.28,418.21,108.75,213.38,379.59,1317.57,254.87,166.35,2808.93,2283.55,2110.74,732.82,8.19,20.48,159.74,127.49,127.58,41.45,136.05,168.89,79.01,42.58,42.45,30.3,82.6,383.92,34.9,81.36,319.24,251.42,818.24,287.74,3220.08,283.1,119.77
146.26,897.88,279.77,443.17,392.29,667.73,610.4,194.86,450.66,497.72,2390.33,379.41,433.04,4764.56,3747.62,3277.54,1827.99,8.44,93.62,76.12,244.08,75.73,86.04,781.67,255.76,49.8,187.92,11.35,111.02,70.3,258.55,106.74,176.85,398.98,493.62,871.25,262.96,278.58,5584.58,305.88
59.17,471.62,66.56,104.63,97.58,484.32,423.53,276.46,476.29,234.66,1798.67,191.67,340.21,4576.12,4538.23,2285.36,1791.38,9.43,30.35,60.66,77.78,30.72,37.3,1018.94,338.98,50.88,37.38,2.92,20.68,168.58,250.55,69.23,131.36,230.36,174.19,546.1,258.51,84.59,363.8,4113.01
